
2016preVFP
statistical (background)      129,4  129,4  129,4
ABCD uncertainty              67,0  67,0  67,0
PAT-DSA Dimuon efficiency SF  17,1  33,7  25,4
statistical (signal)          9,1  29,8  22,3
PU                            11,1  14,5  12,5
b-tagging                     3,3  11,1  7,5
MET unclustered energy        0,0  5,4  2,6
DSA muon ID                   2,3  2,4  2,3
DSA muon reco                 2,0  2,0  2,0
MET JER uncertainty           0,0  3,0  1,6
PU jet ID efficiency          0,7  1,8  1,3
Lxy uncertainty               0,0  2,2  1,1
JEC resolution                0,0  2,1  1,1
L1 Pre-firing                 0,8  1,1  1,2
luminosity                    0,0  1,2  0,5
muon loose Iso                0,1  0,6  0,4
muon tight ID                 0,3  0,4  0,4
JEC scale                     0,0  0,7  0,4
IsoMu trigger                 0,1  0,3  0,2
MET JES uncertainty           0,0  0,2  0,5
muon tight Iso                0,1  0,1  0,1
muon reco                     0,1  0,1  0,1
muon loose ID                 0,0  0,1  0,0

2016postVFP
statistical (background)      103,4  103,4  103,4
ABCD uncertainty              72,1  72,1  72,1
statistical (signal)          8,3  38,2  24,7
PU                            10,6  17,1  15,8
PAT-DSA Dimuon efficiency SF  9,9  16,5  13,9
b-tagging                     3,0  11,3  7,1
MET unclustered energy        0,0  5,1  5,0
DSA muon ID                   2,2  2,3  2,3
DSA muon reco                 2,0  2,0  2,0
L1 Pre-firing                 0,9  1,3  1,1
PU jet ID efficiency          0,8  1,3  1,2
Lxy uncertainty               0,0  2,0  1,0
JEC resolution                0,0  1,6  1,0
luminosity                    0,0  1,2  0,5
JEC scale                     0,0  1,2  0,7
muon tight ID                 0,3  0,6  0,4
MET JER uncertainty           0,0  0,9  3,1
muon reco                     0,3  0,3  0,3
IsoMu trigger                 0,2  0,3  0,3
muon loose Iso                0,0  0,4  0,2
muon tight Iso                0,1  0,2  0,2
MET JES uncertainty           0,0  0,0  0,2
muon loose ID                 0,0  0,0  0,0

2017
statistical (background)      62,4  62,4  62,4
ABCD uncertainty              50,4  50,4  50,4
statistical (signal)          5,9  34,3  20,5
PU                            10,6  19,0  14,4
PAT-DSA Dimuon efficiency SF  8,1  14,5  11,1
b-tagging                     5,1  13,4  9,6
DSA muon ID                   2,2  2,3  2,3
DSA muon reco                 2,0  2,0  2,0
JEC resolution                0,0  4,0  3,2
MET unclustered energy        0,0  3,4  2,0
Lxy uncertainty               0,0  2,7  1,1
MET JER uncertainty           0,0  2,0  1,2
PU jet ID efficiency          0,8  1,2  1,0
L1 Pre-firing                 0,6  1,1  0,8
luminosity                    0,6  0,6  0,6
JEC scale                     0,0  0,6  0,3
muon loose Iso                0,1  0,5  0,3
MET JES uncertainty           0,0  0,4  0,3
muon reco                     0,1  0,2  0,2
IsoMu trigger                 0,1  0,2  0,2
muon tight ID                 0,1  0,2  0,1
muon tight Iso                0,1  0,2  0,2
muon loose ID                 0,0  0,0  0,0

2018
statistical (background)      53,7  53,7  53,7
ABCD uncertainty              35,8  35,8  35,8
statistical (signal)          7,2  27,0  21,0
PU                            11,9  17,0  13,8
PAT-DSA Dimuon efficiency SF  9,2  15,4  12,0
b-tagging                     3,3  14,7  8,5
MET unclustered energy        0,5  6,8  4,4
DSA muon ID                   2,0  2,2  2,1
DSA muon reco                 2,0  2,0  2,0
JEC resolution                0,0  3,7  2,2
Lxy uncertainty               0,0  2,7  1,2
PU jet ID efficiency          0,8  1,4  1,1
MET JER uncertainty           0,0  1,7  0,9
luminosity                    0,8  0,8  0,8
JEC scale                     0,0  1,3  0,6
muon loose Iso                0,1  0,5  0,3
MET JES uncertainty           0,0  0,4  0,6
L1 Pre-firing                 0,2  0,2  0,2
IsoMu trigger                 0,1  0,2  0,2
muon tight Iso                0,1  0,2  0,1
muon tight ID                 0,1  0,1  0,1
muon reco                     0,1  0,1  0,1
muon loose ID                 0,0  0,0  0,0

2022preEE
ABCD uncertainty              385,9  385,9  385,9
statistical (background)      191,8  191,8  191,8
statistical (signal)          14,8  48,9  31,4
