
2016preVFP
statistical (background)      72,3  72,3  72,3
Lxy uncertainty               1,8  79,2  45,1
PAT-PAT Dimuon efficiency SF  21,3  23,6  22,4
PU                            10,9  12,3  11,6
ABCD uncertainty              8,5  8,5  8,5
statistical (signal)          4,3  12,0  8,2
b-tagging                     3,5  11,7  7,4
MET unclustered energy        2,5  4,8  3,6
JEC resolution                0,2  2,8  1,6
L1 Pre-firing                 1,1  1,3  1,2
PU jet ID efficiency          1,0  1,2  1,1
JEC scale                     0,0  1,4  0,7
luminosity                    0,0  1,2  0,5
muon tight ID                 0,4  0,7  0,5
MET JER uncertainty           0,0  1,0  0,5
muon loose Iso                0,1  0,7  0,4
muon tight Iso                0,1  0,5  0,3
MET JES uncertainty           0,0  0,5  0,2
IsoMu trigger                 0,2  0,2  0,2
muon reco                     0,1  0,1  0,1
muon loose ID                 0,0  0,1  0,0

2016postVFP
statistical (background)      60,0  60,0  60,0
Lxy uncertainty               1,8  79,2  45,1
PAT-PAT Dimuon efficiency SF  17,6  23,7  20,5
ABCD uncertainty              20,0  20,0  20,0
PU                            11,3  13,2  12,3
b-tagging                     3,1  11,2  7,1
statistical (signal)          3,9  10,4  7,9
MET unclustered energy        2,2  4,7  3,7
JEC resolution                0,3  2,2  1,4
PU jet ID efficiency          1,1  1,2  1,2
L1 Pre-firing                 1,1  1,2  1,2
JEC scale                     0,0  1,3  0,5
MET JER uncertainty           0,0  1,3  1,0
luminosity                    0,0  1,2  0,5
muon tight ID                 0,3  0,9  0,6
muon reco                     0,4  0,4  0,4
muon tight Iso                0,1  0,7  0,3
muon loose Iso                0,1  0,7  0,4
MET JES uncertainty           0,0  0,5  0,2
IsoMu trigger                 0,2  0,2  0,2
muon loose ID                 0,0  0,1  0,1

2017
Lxy uncertainty               1,8  79,2  45,1
statistical (background)      29,9  29,9  29,9
PU                            11,9  13,2  12,7
PAT-PAT Dimuon efficiency SF  9,5  11,2  10,4
b-tagging                     6,1  13,1  9,6
ABCD uncertainty              7,1  7,1  7,1
statistical (signal)          2,7  7,1  5,4
MET unclustered energy        2,7  4,1  3,6
JEC resolution                1,6  3,2  2,6
MET JER uncertainty           0,8  1,9  1,5
PU jet ID efficiency          0,9  1,0  1,0
L1 Pre-firing                 0,7  0,8  0,8
JEC scale                     0,0  1,3  0,5
luminosity                    0,6  0,6  0,6
MET JES uncertainty           0,0  0,8  0,4
muon loose Iso                0,1  0,6  0,4
muon tight Iso                0,1  0,6  0,4
muon reco                     0,2  0,2  0,2
muon tight ID                 0,1  0,3  0,2
IsoMu trigger                 0,1  0,2  0,2
muon loose ID                 0,0  0,0  0,0

2018
Lxy uncertainty               1,8  79,2  45,1
statistical (background)      26,2  26,2  26,2
PU                            12,5  13,7  13,2
b-tagging                     3,5  13,6  8,5
PAT-PAT Dimuon efficiency SF  8,0  9,1  8,5
ABCD uncertainty              6,1  6,1  6,1
statistical (signal)          2,7  7,6  5,8
MET unclustered energy        2,5  4,3  3,4
JEC resolution                1,6  2,7  2,1
PU jet ID efficiency          1,2  1,4  1,3
MET JER uncertainty           0,4  1,4  0,9
JEC scale                     0,0  1,7  0,8
luminosity                    0,8  0,8  0,8
muon loose Iso                0,1  0,7  0,4
muon tight Iso                0,1  0,6  0,3
MET JES uncertainty           0,0  0,7  0,3
muon reco                     0,2  0,2  0,2
L1 Pre-firing                 0,2  0,2  0,2
muon tight ID                 0,1  0,2  0,1
IsoMu trigger                 0,1  0,2  0,1
muon loose ID                 0,0  0,0  0,0

2022preEE
statistical (background)      66,9  66,9  66,9
Lxy uncertainty               1,8  79,2  45,1
ABCD uncertainty              30,4  30,4  30,4
PAT-PAT Dimuon efficiency SF  24,5  32,1  28,0
PU                            14,9  17,7  16,5
statistical (signal)          6,7  18,6  14,2
b-tagging                     7,4  14,9  10,8
MET unclustered energy        2,8  6,9  5,3
JEC resolution                0,2  3,3  1,9
MET JER uncertainty           0,3  2,6  1,5
luminosity                    1,4  1,4  1,4
JEC scale                     0,0  1,7  0,7
MET JES uncertainty           0,0  1,6  0,7
muon tight Iso                0,2  0,7  0,5
IsoMu trigger                 0,3  0,5  0,4
muon tight ID                 0,1  0,4  0,2
muon loose Iso                0,1  0,4  0,3
muon loose ID                 0,0  0,1  0,1

2022postEE
statistical (background)      49,6  49,6  49,6
Lxy uncertainty               1,8  79,2  45,1
PU                            20,5  23,6  22,1
PAT-PAT Dimuon efficiency SF  15,6  17,5  16,6
b-tagging                     7,1  16,7  11,8
ABCD uncertainty              11,0  11,0  11,0
statistical (signal)          3,8  10,5  7,9
MET unclustered energy        4,2  7,4  6,1
JEC resolution                1,9  4,4  3,6
JEC scale                     0,0  3,3  2,0
luminosity                    1,4  1,4  1,4
MET JER uncertainty           0,6  1,7  1,8
MET JES uncertainty           0,0  1,5  1,1
muon tight Iso                0,3  0,9  0,6
muon loose Iso                0,2  0,8  0,5
IsoMu trigger                 0,2  0,3  0,3
muon tight ID                 0,1  0,3  0,2
muon loose ID                 0,0  0,1  0,0

2023preBPix
statistical (background)      64,0  64,0  64,0
Lxy uncertainty               1,8  79,2  45,1
PU                            18,0  19,9  18,9
PAT-PAT Dimuon efficiency SF  15,8  19,2  17,4
b-tagging                     8,4  10,0  9,1
statistical (signal)          4,2  11,5  8,2
ABCD uncertainty              7,0  7,0  7,0
MET unclustered energy        4,8  7,0  6,4
JEC resolution                1,3  2,9  2,2
MET JER uncertainty           1,0  2,9  2,6
JEC scale                     0,0  1,9  0,8
MET JES uncertainty           0,0  1,5  0,8
luminosity                    0,2  1,3  0,7
muon tight Iso                0,3  0,8  0,6
muon tight ID                 0,2  0,6  0,4
IsoMu trigger                 0,3  0,5  0,4
muon loose Iso                0,2  0,5  0,3
muon loose ID                 0,0  0,1  0,1

2023postBPix
statistical (background)      81,5  81,5  81,5
Lxy uncertainty               1,8  79,2  45,1
PAT-PAT Dimuon efficiency SF  22,5  27,5  24,9
PU                            17,5  19,0  18,0
ABCD uncertainty              12,4  12,4  12,4
statistical (signal)          5,8  16,2  12,7
b-tagging                     6,0  9,5  7,7
MET unclustered energy        4,1  8,3  6,6
MET JER uncertainty           0,9  3,3  2,9
JEC resolution                0,4  2,5  1,7
JEC scale                     0,0  1,8  0,8
MET JES uncertainty           0,0  1,6  1,0
luminosity                    0,2  1,3  0,7
muon tight Iso                0,3  0,9  0,6
muon tight ID                 0,3  0,7  0,5
IsoMu trigger                 0,4  0,5  0,5
muon loose Iso                0,3  0,6  0,4
muon loose ID                 0,0  0,1  0,1
